# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: ma_fetch.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   0000a000   ---        --------
               6   N   0000a000   000047a1   0000a004   x14_a4     00000000
               7   N   0000a004   04f70763   0000a006   x15_a5     00000008
               8   N   0000a006   000047a5   0000a00a   ---        --------
               9   N   0000a00a   04f70463   0000a00c   x15_a5     00000009
              10   N   0000a00c   000047ad   0000a010   ---        --------
              11   N   0000a010   04f70163   0000a012   x15_a5     0000000b
              12   N   0000a012   00004781   0000a016   ---        --------
              13   N   0000a016   00f70d63   0000a018   x15_a5     00000000
              14   N   0000a018   00000717   0000a032   ---        --------
              18   N   0000a032   00000897   0000a036   x16_a6     f0000000
              20   N   0000a036   f0008893   0000a03a   x17_a7     0000a036
              22   N   0000a03a   00008783   0000a03e   x17_a7     0000a100
              25   N   0000a03e   00079463   0000a042   x15_a5     0000006d
              26   N   0000a042   0008006f   0000a04a   ---        --------
              31   N   0000a04a   00000885   0000a04e   ---        --------
              32   N   0000a04e   0000b7fd   0000a050   x17_a7     0000a101
              33   N   0000a050   00004505   0000a03e   ---        --------
              38   N   0000a03e   00079463   0000a042   x15_a5     00000069
              39   N   0000a042   0008006f   0000a04a   ---        --------
              44   N   0000a04a   00000885   0000a04e   ---        --------
              45   N   0000a04e   0000b7fd   0000a050   x17_a7     0000a102
              46   N   0000a050   00004505   0000a03e   ---        --------
              51   N   0000a03e   00079463   0000a042   x15_a5     00000073
              52   N   0000a042   0008006f   0000a04a   ---        --------
              57   N   0000a04a   00000885   0000a04e   ---        --------
              58   N   0000a04e   0000b7fd   0000a050   x17_a7     0000a103
              59   N   0000a050   00004505   0000a03e   ---        --------
              64   N   0000a03e   00079463   0000a042   x15_a5     00000061
              65   N   0000a042   0008006f   0000a04a   ---        --------
              70   N   0000a04a   00000885   0000a04e   ---        --------
              71   N   0000a04e   0000b7fd   0000a050   x17_a7     0000a104
              72   N   0000a050   00004505   0000a03e   ---        --------
              77   N   0000a03e   00079463   0000a042   x15_a5     0000006c
              78   N   0000a042   0008006f   0000a04a   ---        --------
              83   N   0000a04a   00000885   0000a04e   ---        --------
              84   N   0000a04e   0000b7fd   0000a050   x17_a7     0000a105
              85   N   0000a050   00004505   0000a03e   ---        --------
              90   N   0000a03e   00079463   0000a042   x15_a5     00000069
              91   N   0000a042   0008006f   0000a04a   ---        --------
              96   N   0000a04a   00000885   0000a04e   ---        --------
              97   N   0000a04e   0000b7fd   0000a050   x17_a7     0000a106
              98   N   0000a050   00004505   0000a03e   ---        --------
             103   N   0000a03e   00079463   0000a042   x15_a5     00000067
             104   N   0000a042   0008006f   0000a04a   ---        --------
             109   N   0000a04a   00000885   0000a04e   ---        --------
             110   N   0000a04e   0000b7fd   0000a050   x17_a7     0000a107
             111   N   0000a050   00004505   0000a03e   ---        --------
             116   N   0000a03e   00079463   0000a042   x15_a5     0000006e
             117   N   0000a042   0008006f   0000a04a   ---        --------
             122   N   0000a04a   00000885   0000a04e   ---        --------
             123   N   0000a04e   0000b7fd   0000a050   x17_a7     0000a108
             124   N   0000a050   00004505   0000a03e   ---        --------
             129   N   0000a03e   00079463   0000a042   x15_a5     00000000
             130   N   0000a042   0008006f   0000a046   ---        --------
             132   N   0000a046   00070023   0000a300   ---        --------
             135   N   0000a300   df428293   0000a304   x05_t0     00000300
             136   N   0000a304   00008282   0000a308   x05_t0     000000f4
             137   N   0000a308   00000013   000000f4   ---        --------
             140   N   000000f4   0000006f   000000f8   ---        --------
             141   N   000000f8   ffffffff   000000f8   ---        --------
